1,"Regele Mihai, diagnosticat cu leucemie în stadiu foarte avansat. Se retrage din viața publică",2016-03-02,"Mircea Badea","Regele Mihai a fost diagnosticat cu leucemie în stadiu foarte avansat, cu metastaze, și supus unei intervenții chirurgicale în cursul zilei de miercuri, anunţă Realitatea Tv. Informația a venit de la avocatul Casei regale care a transmis o înregistrare video în care a comunicat că Majestatea Sa se află într-o stare gravă de sănătate monarhul având și cancer de piele.  În urma anunțului, președintele Klaus Iohannis, premierul Dacian Cioloș dar și alți lideri politici au transmis mesaje în care și-au exprimat îngrijorarea pentru starea de sănătate a Regelui, transmițând totodată urări de însănătoșire. Printre cei care au avut un mesaj pentru monarh a fost și Ion Iliescu. Totodată, și nepotul Regelui, Nicoale, i-a transmis, într-un mesaj emoționat, multă sănătate.",8
2,"Klaus Iohannis, prima reacţie după ce Regele Mihai a fost diagnosticat cu leucemie",2016-03-03,"Grigore Minolescu","Preşedintele Klaus Iohannis a postat pe pagina sa de facebook un mesaj în care precizează că a primit cu îngrijorare vestea deteriorării stării de sănătate a Majestății Sale Regelui Mihai.Redăm, în continuare, mesajul în care preşedintele precizează că îşi doreşte ca Regele să aibă puterea să treacă peste aceste momente dificile. Nu în ultimul rând, Iohannis le transmite românilor că este important ca în aceste clipe să nu uităm exemplul vrednic de curaj și dăruire pus în slujba națiunii de către Majestatea Sa Regele încă din 1927.",7
3,"Gabriel Oprea, urmărit penal de DNA pentru abuz în serviciu, în dosarul foştilor şefi ai DIPI",2016-03-03,"Andrea Cosanzana","Fostul vicepremier şi ministru de Interne Gabriel Oprea a fost pus sub urmărire penală, miercuri, de DNA. Oprea este cercetat penal pentru abuz în serviciu, în dosarul în care sunt cercetați și foști șefi ai Direcției de Informații și Protecție Internă (DIPI).",8
4,"O să vedeți un Marian Vanghelie mult mai complicat şi mai inteligent",2015-09-02,"REALITATEA TV","Primarul suspendat al Sectorului 5, Marian Vanghelie, a declarat, miercuri, după ce i-a convins pe judecătorii de la Curtea de Apel București să îi acorde permisia de a părăsi arestul la domiciliu, timp de două zile, pentru a asista la nașterea fiicei sale, că se va schimba și va deveni "mai inteligent",8
5,"SRI nu mai poate face interceptări. Prima reacţie a Serviciului Secret",2016-02-16,"Frederico Dicaprio","CCR a emis un comunicat de presă din care reiese că SRI nu va mai putea face interceptări, anunţă Realitatea TV. Decizia vine ca urmare a excepţiei de neconstituţionalitate a unui alineat dintr-un articol al Codului de Procedură Penală. Plenul Curții Constituționale a admis marți, cu majoritate de voturi, excepția de neconstituționalitate a dispozițiilor din Codul de procedură penală care prevăd că supravegherea tehnică dispusă de procuror poate fi efectuată nu doar de "organul de cercetare penală sau de lucrători specializați din cadrul poliției ci și de "alte organe specializate ale statului. Reprezentanţii SRI au declarat în exclusivitate pentru realitatea.net că nu se vor pronunţa pe acest subiect până când Curtea Constituţională nu va publica motivarea pentru decizia luată.",2
6,"Bijuterii în valoare de peste 1 milion de lei, confiscate de polițiști după un control în trafic",2016-02-17,"Mircea Badea","Polițiștii din Cluj au confiscat peste 6.000 de grame de bijuterii de aur, în valoare de peste 1 milion de lei, în urma unui control efectuat în trafic",2
7,"Anunţul de ultimă oră făcut de Guvern privind Legea dării în plată",2016-03-02,"Petre Roman","Guvernul este de acord cu legea dării în plată, dar consideră că ar trebui să aibă un marcat caracter social, iar prevederile sale nu ar trebui să se aplice şi programului Prima Casă, ministerul de Finanţe şi cel al Justiţiei având o serie de observaţii asupra iniţiativei legislative.",1
8,"Strategia economică a României. Rezervele actuale de gaze se vor epuiza în 20 de ani",2016-03-02,"Cartof Ion","Rezervele actuale de gaze ale României se vor epuiza în 15-20 de ani, având în vedere producţia actuală de circa 10,8 miliarde metri cubi şi în condiţiile unui declin anual constant al rezervelor. Sunt estimările care apar în Strategia Economică a României publicată pe site-ul Ministerului Energiei.",1
9,"Cum arată noul model Duster prezentat, în premieră, la Geneva",2016-03-02,"Costel Mircea","Dacia a lansat, ieri, la Salonul Auto de la Geneva, noua variantă Duster: Essential.  Într-o nouă culoare exterioară: Tourmaline Brown,  SUV-ul românesc a fost în centrul atenției prin alte două culori:  Blue Cosmos şi argintiu.",3
10,"Secretul din adâncuri. Sunetele misterioase care au îngrozit lumea ştiinţifică. Noapte de noapte...",2016-03-02,"L. G.","Pentru prima dată, oamenii de ştiinţă au reuşit să înregistreze sunetele pe care creaturile din adâncurile oceanelor le scot noepte de noapte... Ce vor să transmită, de fapt, vieţuitoarele? Află din materialul următor!",6
